mu\w,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0
0.0,0.000000e+00,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,3.269811e-01,3.923773e-01,4.577735e-01,4.109531e-01,2.123223e-01,1.369140e-02
0.1,1.189044e-17,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,3.269811e-01,3.923773e-01,4.577735e-01,3.110801e-01,1.124493e-01,1.558503e-03
0.2,2.130399e-17,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,3.269811e-01,3.923773e-01,4.098526e-01,2.112217e-01,1.259085e-02,4.377822e-03
0.3,8.148844e-18,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,3.269811e-01,3.923773e-01,3.100114e-01,1.113805e-01,1.814769e-03,7.239006e-03
0.4,1.275648e-17,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,3.269811e-01,3.923773e-01,2.101909e-01,1.156000e-02,4.112613e-03,3.834471e-03
0.5,4.456102e-17,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,3.269811e-01,3.090261e-01,1.103952e-01,3.800730e-03,9.062890e-03,4.747832e-03
0.6,2.165669e-17,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,3.269811e-01,2.092609e-01,1.063000e-02,4.563677e-03,1.192106e-02,1.072678e-02
0.7,1.517801e-17,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,3.081643e-01,1.095334e-01,9.675996e-03,1.600653e-03,3.362057e-03,3.387132e-03
0.8,8.627827e-17,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,2.084846e-01,9.853706e-03,1.087073e-02,6.216293e-03,1.295108e-02,1.599235e-02
0.9,8.930215e-17,6.539622e-02,1.307924e-01,1.961887e-01,2.615849e-01,1.088662e-01,2.112453e-03,4.894617e-04,6.566204e-03,1.675470e-02,3.696638e-03
1.0,5.763461e-24,6.539622e-02,1.307924e-01,1.961887e-01,2.079594e-01,9.328578e-03,1.105023e-02,2.234283e-03,1.188619e-02,1.473935e-02,1.923886e-02
1.1,9.177991e-16,6.539622e-02,1.307924e-01,1.961887e-01,1.085312e-01,9.890026e-03,1.387015e-02,1.520194e-02,2.393936e-02,6.930807e-03,6.057657e-03
1.2,6.549539e-15,6.539622e-02,1.307924e-01,1.961887e-01,9.256001e-03,1.646087e-02,2.218280e-02,6.471459e-03,2.944837e-02,6.587269e-03,1.999324e-02
1.3,1.226617e-12,6.539622e-02,1.307924e-01,1.088352e-01,1.422823e-02,1.196946e-02,9.914738e-03,2.091040e-02,2.835123e-02,2.567754e-02,1.092626e-02
1.4,1.244155e-10,6.539622e-02,1.307924e-01,1.012807e-02,9.910770e-03,3.201551e-02,3.383537e-02,2.789152e-02,2.067264e-02,1.634681e-02,2.079126e-03
1.5,8.829354e-09,6.539621e-02,1.106221e-01,1.648345e-02,4.678951e-03,4.235247e-03,2.409289e-02,2.731311e-02,6.522078e-03,9.653116e-03,1.223772e-02
1.6,4.519513e-07,6.539577e-02,1.352753e-02,1.237466e-02,3.078160e-02,1.374054e-02,1.841193e-02,1.649699e-02,1.391339e-02,1.970126e-02,1.177740e-02
1.7,1.686958e-05,6.537935e-02,2.086165e-02,3.263575e-02,1.093534e-02,1.108782e-02,2.574605e-02,3.716098e-03,3.537575e-02,4.438402e-04,1.179154e-02
1.8,4.480341e-04,2.812549e-02,3.156603e-02,2.594405e-02,3.728894e-03,1.829348e-02,2.668163e-02,9.125320e-03,1.068036e-02,3.327065e-02,1.540343e-03
1.9,7.373330e-03,4.118202e-02,2.665640e-02,2.204350e-02,9.409027e-03,4.834123e-03,2.126565e-02,2.660002e-02,1.404717e-03,3.555055e-03,3.554763e-02
2.0,4.870566e-02,1.669056e-02,1.529565e-02,3.465553e-02,1.820099e-02,1.355424e-02,7.166371e-03,7.090267e-03,1.100511e-02,4.129155e-02,1.369140e-02
2.1,1.272140e-01,4.130105e-03,3.578481e-03,1.687905e-03,1.789192e-02,4.428399e-02,2.111223e-02,8.160671e-03,1.879254e-02,1.373956e-03,4.516768e-03
2.2,2.187405e-01,2.010960e-02,2.600294e-02,9.119711e-03,1.020792e-03,4.479549e-03,9.998709e-03,1.696367e-02,1.081024e-02,1.644631e-02,3.461871e-02
2.3,3.144730e-01,1.158421e-01,1.838244e-02,2.368820e-02,4.260883e-02,1.250814e-02,2.326684e-02,3.182934e-02,2.545314e-02,1.534566e-02,1.784974e-03
2.4,4.119420e-01,2.133112e-01,1.468032e-02,3.056597e-02,1.842490e-02,4.515918e-03,3.265825e-03,8.801123e-03,1.437580e-02,2.149377e-02,1.225846e-02
2.5,5.102759e-01,3.116451e-01,1.130142e-01,9.030347e-03,2.171691e-03,2.382762e-02,3.771977e-02,4.566968e-02,1.289381e-02,1.703746e-03,6.698724e-03
2.6,6.090989e-01,4.104680e-01,2.118371e-01,1.320628e-02,4.954002e-03,3.869863e-02,2.877850e-02,1.867126e-02,1.228188e-02,6.936131e-03,7.878374e-04
2.7,7.082241e-01,5.095932e-01,3.109624e-01,1.123315e-01,2.338360e-02,3.814965e-02,9.749489e-03,6.930118e-03,1.654482e-02,2.277561e-02,2.812981e-02
2.8,8.075488e-01,6.089180e-01,4.102871e-01,2.116562e-01,1.302538e-02,2.090642e-02,1.637491e-03,2.470823e-02,3.996089e-02,4.716354e-02,4.171572e-02
2.9,9.070120e-01,7.083812e-01,5.097503e-01,3.111194e-01,1.124886e-01,1.347019e-02,5.789871e-03,3.333085e-02,3.471621e-02,2.412412e-02,1.741288e-02
3.0,1.006575e+00,8.079443e-01,6.093135e-01,4.106826e-01,2.120517e-01,1.342088e-02,2.319605e-02,3.160064e-02,2.169938e-02,5.696051e-03,3.863464e-03
